DATA,CLIENTE,ORIGEM ,DESTINO ,KM,VEÍCULO,KM ROD,R$ MOTORISTA,R$ EMPRESA,VALOR DE NF,DIAS PAG,ICMS,CO,COMISSÃO,RENTABILIDADE,V. COM,SITUAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2025,CYA RUBBER,CRICIUMA,DIADEMA,800,COMPL,"0,63","R$ 500,00","R$ 900,00","R$ 10.000,00",15,"12,00%","0,00%","13,00%","15,04%"," R$  52,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 7,65",IMPOSTO," R$  58,50 ","6,50%",C.O, R$  -   ,MARGEM," R$  135,40 ",ICMS," R$  108,00 ",MOVA,"0,00133"," R$  17,96 ",MOVA,"2,00%",SEGURO,"0,030%","R$ 3,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,CYA RUBBER,SUZANO,RIBEIRAO PRETO,350,COMPL,"4,29","R$ 1.500,00","R$ 2.700,00","R$ 45.000,00",15,"12,00%","0,00%","13,00%","16,17%"," R$  156,00 ",,BATIDA, R$  -   ,0, RUIM,25,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 22,95", IMPOSTO," R$  175,50 ","6,50%", C.O, R$  -   , MARGEM," R$  436,69 ", ICMS," R$  324,00 ", MOVA," R$  0,00 "," R$  53,87 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 13,50",BOLETOS + RCV," R$  17,50 "
04/06/2025,CYA RUBBER,GUARULHOS,SALTO,115,TRUCK,"13,04","R$ 1.500,00","R$ 2.700,00","R$ 150.000,00",15,"12,00%","0,00%","13,00%","15,01%"," R$  156,00 ",,CARREGAMENTOS ," R$  15,00 ",#REF!, MEDIANO,76,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 22,95", IMPOSTO," R$  175,50 ","6,50%", C.O, R$  -   , MARGEM," R$  405,19 ", ICMS," R$  324,00 ", MOVA," R$  0,00 "," R$  53,87 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,UNIFORT,BETIM,VARZEA GRANDE ,1.500,CARRETA LS,"6,67","R$ 10.000,00","R$ 15.400,00","R$ 300.000,00",15,"3,00%","3,50%","10,00%","15,02%"," R$  540,00 ",,LIGAÇÕES," R$  1,50 ",#REF!, BOM,90,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 130,90", IMPOSTO," R$  1.001,00 ","6,50%", C.O," R$  539,00 ", MARGEM," R$  2.312,37 ", ICMS," R$  462,00 ", MOVA," R$  0,00 "," R$  307,23 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 90,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,UNIFORT,BETIM,VARZEA GRANDE ,1.750,CARRETA LS,"8,29","R$ 14.500,00","R$ 22.400,00","R$ 300.000,00",15,"3,00%","3,50%","10,00%","15,42%"," R$  790,00 ",,COTAÇÕES," R$  0,50 ",#REF!,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 190,40", IMPOSTO," R$  1.456,00 ","6,50%", C.O," R$  784,00 ", MARGEM," R$  3.453,22 ", ICMS," R$  672,00 ", MOVA," R$  0,00 "," R$  446,88 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 90,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,UNIFORT,GOIANIA,VARZEA GRANDE ,900,3/4,"4,56","R$ 4.100,00","R$ 6.900,00","R$ 100.000,00",15,"3,00%","3,50%","10,00%","19,99%"," R$  280,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 58,65", IMPOSTO," R$  448,50 ","6,50%", C.O," R$  241,50 ", MARGEM," R$  1.379,20 ", ICMS," R$  207,00 ", MOVA," R$  0,00 "," R$  137,66 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,AUSTIN,MORRO DA FUMAÇA,FRANCISCO BELTRAO,650,COMPL,"1,08","R$ 700,00","R$ 1.200,00","R$ 10.000,00",15,"12,00%","0,00%","10,00%","14,45%"," R$  50,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 10,20", IMPOSTO," R$  78,00 ","6,50%", C.O, R$  -   , MARGEM," R$  173,36 ", ICMS," R$  144,00 ", MOVA," R$  0,00 "," R$  23,94 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 3,00",BOLETOS + RCV," R$  17,50 "
04/06/2025,AUSTIN,MORRO DA FUMAÇA,PIÇARRAS,260,COMPL,"1,54","R$ 400,00","R$ 650,00","R$ 4.000,00",15,"12,00%","0,00%","7,00%","11,55%"," R$  17,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 5,53", IMPOSTO," R$  42,25 ","6,50%", C.O, R$  -   , MARGEM," R$  75,06 ", ICMS," R$  78,00 ", MOVA," R$  0,00 "," R$  12,97 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 1,20",BOLETOS + RCV," R$  17,50 "
04/06/2025,AUSTIN,MORRO DA FUMAÇA,UNIAO DA VITORIA,400,COMPL,"1,50","R$ 600,00","R$ 950,00","R$ 4.000,00",15,"12,00%","0,00%","7,00%","10,95%"," R$  24,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 8,08", IMPOSTO," R$  61,75 ","6,50%", C.O, R$  -   , MARGEM," R$  104,02 ", ICMS," R$  114,00 ", MOVA," R$  0,00 "," R$  18,95 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 1,20",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,GUARULHOS ,ITAQUAQUECETEBA,30,TRUCK,"23,33","R$ 700,00","R$ 1.250,00","R$ 46.000,00",15,"12,00%","0,00%","10,00%","15,75%"," R$  55,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 10,63", IMPOSTO," R$  81,25 ","6,50%", C.O, R$  -   , MARGEM," R$  196,89 ", ICMS," R$  150,00 ", MOVA," R$  0,00 "," R$  24,94 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 13,80",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,GUARULHOS ,FRANCA,419,TRUCK,"5,97","R$ 2.500,00","R$ 4.600,00","R$ 93.000,00",15,"12,00%","0,00%","13,00%","17,39%"," R$  273,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 39,10", IMPOSTO," R$  299,00 ","6,50%", C.O, R$  -   , MARGEM," R$  799,73 ", ICMS," R$  552,00 ", MOVA," R$  0,00 "," R$  91,77 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 27,90",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,SUZANO,RIBEIRAO PRETO,350,COMPL,"4,43","R$ 1.550,00","R$ 2.700,00","R$ 90.000,00",15,"12,00%","0,00%","10,00%","15,34%"," R$  115,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 22,95", IMPOSTO," R$  175,50 ","6,50%", C.O, R$  -   , MARGEM," R$  414,19 ", ICMS," R$  324,00 ", MOVA," R$  0,00 "," R$  53,87 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 27,00",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,CAMPO BOM,CURITIBA,650,CARRETA,"5,54","R$ 3.600,00","R$ 5.900,00","R$ 380.000,00",15,"12,00%","0,00%","7,00%","12,68%"," R$  161,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 50,15", IMPOSTO," R$  383,50 ","6,50%", C.O, R$  -   , MARGEM," R$  748,15 ", ICMS," R$  708,00 ", MOVA," R$  0,00 "," R$  117,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 114,00",BOLETOS + RCV," R$  17,50 "
16/09/2025,CYA RUBBER,CERQUILHO,LUIS EDUARDO MAGALHAES,1.500,CARRETA,"8,33","R$ 12.500,00","R$ 20.800,00","R$ 250.000,00",15,"5,60%","3,50%","13,00%","15,83%"," R$  1.079,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 176,80", IMPOSTO," R$  1.352,00 ","6,50%", C.O," R$  728,00 ", MARGEM," R$  3.291,94 ", ICMS," R$  1.164,80 ", MOVA," R$  0,00 "," R$  414,96 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 75,00",BOLETOS + RCV," R$  17,50 "
